Field ,Area,Identification number,Days,Na,K,Mg,Ca,Sr,Ba,Cl,SO4
Dan ,Central,82,4680,25554.21,227,390,1669,193,1,43315,791
Dan ,Central,49,4684,19963.94000001,273,295,1434,333,1,34129.00000001,817
Dan ,Central,65,4685,25381.32000001,291,811,4510,267,1,49403,823
Dan ,Central,127,4687,26170.82000001,162,457,1994,116,1,45048,613
Dan ,Central,127,4709,24507.87000001,123,435,1784,167,1,42122,517
Dan ,Central,65,4710,23688.34,145,453,5071,202,1,46792,498
Dan ,Central,42,4718,22071.15,161,306,1630,129,1,37693.00000001,547
Dan ,Central,71,4723,25808.47000001,908,541,2888,184,1,46924,785
Dan ,Central,71,4723,29009.71,963,883,2545,154,1,52194.00000001,905
Dan ,Central,82,4725,25434.32,160,367,1590,157,1,43008,554
Dan ,Central,42,4726,21596.58,226,276,1278,117,1,36285.00000001,566
Dan ,Central,65,4729,25875.44,238,467,4952,225,1,50082.00000001,524
Dan ,Central,51,4732,25351.30000001,267,346,1640,150,1,42981.00000001,578
Dan ,Central,127,4733,24923.68,199,449,1817,171,1,42940,511
Dan ,Central,65,4733,25505.44,237,472,4925,216,1,49471.00000001,522
Dan ,Central,63,4734,23444.63,240,501,1396,136,1,39830,839
Dan ,Central,127,4738,25227.15,221,459,1866,168,1,43539,515
Dan ,Central,82,4738,26200.09000001,249,381,1599,166,1,44324,569
Dan ,Central,63,4740,23631.61000001,238,487,1521,287,1,40390,879
Dan ,Central,65,4740,26288.36000001,233,444,4443,516,1,49980,527
Dan ,Central,86,4741,24026.79,345,485,2256,439,1,42681.00000001,656
Dan ,Central,51,4741,27479.69,176,325,2124,429,1,47171,624
Dan ,Central,33,4742,13506.58000001,145,1107,786,53,1,24152,2023
Dan ,Central,49,4743,20430.32,243,296,1346,126,1,34705.00000001,541
Dan ,Central,42,4743,22200.54,228,267,1249,128,1,37154,561
Dan ,Central,82,4745,26384.45,387,373,1586,182,1,44700,570
Dan ,Central,127,4746,23035.57000001,277,309,1564,152,1,39194,552
Dan ,Central,63,4747,23241.95,368,513,1455,154,1,39773.00000001,859
Dan ,Central,65,4747,25366.48,350,437,4641,231,1,48779,505
Dan ,Central,51,4747,25893.58,369,384,3221,193,1,46839,601
Dan ,Central,127,4751,23769.70000001,275,463,2120,187,1,41828,498
Dan ,Central,63,4754,22538.07000001,343,534,1665,160,1,39093.00000001,871
Dan ,Central,82,4754,25082.34000001,125,395,1885,70,1,42965.00000001,556
Dan ,Central,65,4757,22503.87000001,330,383,3198,199,1,41640,456
Dan ,Central,127,4757,24737.88,365,477,1737,205,1,42775,507
Dan ,Central,33,4760,13343.06000001,134,956,1382,67,1,24640,1854
Dan ,Central,86,4761,24995.32,321,464,1911,152,1,43213.00000001,705
Dan ,Central,82,4761,25618.9,350,372,2828,178,1,45685.00000001,560
Dan ,Central,63,4762,23611.52,333,526,1569,154,1,40527,892
Dan ,Central,51,4763,27549.39,335,387,3192,187,1,49303.00000001,619
Dan ,Central,127,4764,26200.42000001,274,428,1719,236,1,44793.00000001,516
Dan ,Central,65,4764,27370.69,262,418,3326,226,1,49403,507
Dan ,Central,42,4771,23083.65,221,262,1166,161,1,38384,550
Dan ,Central,65,4772,25962.43000001,104,381,3434,830,1,47656,510
Dan ,Central,63,4775,23933.74,307,480,1348,183,1,40497.00000001,894
Dan ,Central,127,4775,24945.99,177,391,1385,203,1,42063,488
Dan ,Central,82,4776,26493.53000001,122,343,1541,308,1,44576,551
Dan ,Central,51,4776,27364.48,307,374,2145,228,1,47138.00000001,613
Dan ,Central,33,4777,13699.96,191,899,720,124,1,23704,2187
Dan ,Central,65,4777,26614.75000001,293,408,3293,282,1,48217,514
Dan ,Central,127,4782,26290.02000001,282,426,1645,231,1,44808,502
Dan ,Central,33,4784,12791.33000001,270,948,740,64,1,23402,972
Dan ,Central,65,4784,27342.91000001,276,406,3247,252,1,49219,507
Dan ,Central,82,4785,26782.39000001,280,339,1378,196,1,44782,541
Dan ,Central,86,4786,24081.00000001,349,445,1961,221,1,42019,566
Dan ,Central,51,4786,26599.63,104,424,2426,307,1,46487,604
Dan ,Central,42,4789,21449.67000001,115,297,1327,284,1,36254,548
Dan ,Central,33,4791,20383.68,149,273,1147,268,1,34385.00000001,349
Dan ,Central,63,4791,23265.52,117,574,1443,249,1,39701.00000001,1013
Dan ,Central,127,4791,25107.69,127,483,1801,172,1,43180,579
Dan ,Central,82,4791,25563.86,102,408,1677,367,1,43594,561
Dan ,Central,51,4791,26248.79000001,95,413,2300,357,1,45710,621
Dan ,Central,86,4792,23615.51000001,131,488,2200,321,1,41763,524
Dan ,Central,65,4792,25551.28,97,479,4268,386,1,48430,494
Dan ,Central,82,4796,26402.9,196,331,1265,249,1,43926,559
Dan ,Central,51,4796,27239.1,185,345,1821,205,1,46166,600
Dan ,Central,65,4797,21823.71,171,311,2341,173,1,38724,419
Dan ,Central,63,4797,23513.67000001,220,437,1170,173,1,39305.00000001,915
Dan ,Central,86,4797,24361.02,226,389,1595,189,1,41512,552
Dan ,Central,127,4797,25928.43,178,385,1602,209,1,43940,504
Dan ,Central,33,4798,19996.69000001,57,337,1099,227,1,33806,304
Dan ,Central,42,4805,20557.38,236,271,2426,188,1,36779,548
Dan ,Central,51,4805,24335.07000001,203,369,4288,247,1,46190,576
Dan ,Central,68,4805,25610.74,276,405,3358,274,1,46731,542
Dan ,Central,65,4805,26168.53000001,190,401,3205,234,1,47226.00000001,505
Dan ,Central,127,4806,23735.44,211,412,3111,268,1,43380,509
Dan ,Central,86,4807,23304.99,253,425,3504,249,1,43456,531
Dan ,Central,42,4811,20137.76,197,261,2318,207,1,35893.00000001,545
Dan ,Central,63,4812,22284.49,242,471,2550,233,1,40085.00000001,826
Dan ,Central,127,4812,23788.13,209,422,3160,261,1,43575,502
Dan ,Central,82,4812,24481.58,192,356,2752,260,1,43682,545
Dan ,Central,86,4813,23329.48000001,267,415,1711,254,1,40306,532
Dan ,Central,68,4813,27712.81,256,536,2425,291,1,48747,481
Dan ,Central,65,4814,26494.4,208,391,3081,253,1,47512,505
Dan ,Central,51,4814,27053.22000001,211,365,2128,249,1,46553.00000001,583
Dan ,Central,63,4824,21513.04,248,488,2569,233,1,38969.00000001,845
Dan ,Central,86,4824,21737.37,259,436,3657,248,1,41333.00000001,546
Dan ,Central,63,4830,23852.38,242,483,1601,425,1,40991,859
Dan ,Central,127,4830,25899.71000001,208,427,1838,434,1,44640,512
Dan ,Central,82,4830,26302.17000001,208,352,1587,484,1,44596,569
Dan ,Central,65,4830,26940.25000001,202,385,3209,477,1,48575.00000001,519
Dan ,Central,42,4831,22489.24,213,267,1424,254,1,37992,569
Dan ,Central,51,4831,27376.14000001,229,375,2347,474,1,47659,594
Dan ,Central,42,4837,22198.88,236,275,1468,299,1,37687,590
Dan ,Central,65,4837,26771.26,212,399,3579,459,1,49001,524
Dan ,Central,51,4837,27919.32,207,375,2326,460,1,48400,633
Dan ,Central,82,4838,25861.9,220,318,1413,391,1,43432,586
Dan ,Central,86,4839,25018.56,235,442,1991,433,1,43597.00000001,541
Dan ,Central,127,4839,25344.43,211,449,1878,463,1,43945.00000001,511
Dan ,Central,63,4840,24780.99,240,475,1573,335,1,42281.00000001,853
Dan ,Central,65,4844,15727.08,180,215,1484,190,1,27615,315
Dan ,Central,42,4844,22329.97,261,262,1118,200,1,37203,551
Dan ,Central,51,4844,27229.19,257,355,1725,293,1,46169.00000001,570
Dan ,Central,63,4845,24411.91,270,449,1245,221,1,41028,801
Dan ,Central,86,4845,25732.8,276,374,1398,258,1,43347,540
Dan ,Central,127,4845,25891.05,270,402,1354,294,1,43610,552
Dan ,Central,82,4845,26570.7,292,333,1253,295,1,44312,535
Dan ,Central,51,4852,27360.34,233,301,1575,276,1,45908,576
Dan ,Central,68,4852,27934.35,277,525,3064,419,1,50297,500
Dan ,Central,63,4853,23340.07000001,252,467,1247,215,1,39339,895
Dan ,Central,86,4853,24031.1,269,375,1391,254,1,40711,527
Dan ,Central,127,4853,25769.49000001,266,394,1418,278,1,43529.00000001,507
Dan ,Central,82,4853,26435.33,253,342,1359,193,1,44190,547
Dan ,Central,65,4853,27236.44,221,359,2660,363,1,47912,515
Dan ,Central,42,4854,22175.80000001,226,248,1063,197,1,36791,553
Dan ,Central,68,4866,27991.9,355,525,3790,420,1,51766,469
Dan ,Central,68,4867,21795.38,370,225,1000,158,1,36182,476
Dan ,Central,65,4867,24372.86,241,318,2095,320,1,42271,629
Dan ,Central,63,4868,24004.36000001,284,256,1217,246,1,39763,876
Dan ,Central,82,4868,27381.12,297,338,1251,277,1,45575,520
Dan ,Central,69,4882,21865.19000001,888,528,2807,221,1,40509.00000001,1000
Dan ,Central,68,4885,22291.47,215,245,1038,193,1,36938,506
Dan ,Central,86,4887,25157.71,237,405,1765,285,1,43212,505
